ShortHand,EN,ES,AF,AR,FR,RU,PT,ID,ZH,DE,JA,HI,NL
deviceConnected,Device Connected,Dispositivo conectado,Toestel gekoppel,الجهاز متصل,Appareil connecté,Устройство подключено,Dispositivo conectado,Perangkat terhubung,连接设备,Gerät angeschlossen,接続されたデバイス,डिवाइस जुड़ा हुआ है,Apparaat verbonden
deviceDisconnected,Device Disconnected,Dispositivo desconectado,Toestel ontkoppel,جهاز منفصل,Appareil déconnecté,Устройство отключено,Dispositivo desconectado,Perangkat terputus,设备断开连接,Gerät getrennt,デバイスが切断されました,डिवाइस डिस्कनेक्ट किया गया,Apparaat afgekoppeld
rotateJoysticks,REMINDER: Rotate Joysticks to complete calibration.,Recordatorio: gire los joysticks para completar la calibración.,Herinnering: Draai joysticks om kalibrasie te voltooi.,تذكير: تدوير عصا التحكم لإكمال المعايرة.,Rappel: Faites pivoter les joysticks pour terminer l'étalonnage.,"Напоминание: поверните джойстики, чтобы завершить калибровку.",Lembrete: gire os joysticks para completar a calibração.,Pengingat: Putar joysticks untuk menyelesaikan kalibrasi.,提醒：旋转操纵杆以完成校准。,"Erinnerung: Drehen Sie Joysticks, um die Kalibrierung zu vervollständigen.",リマインダー：ジョイスティックを回転させてキャリブレーションを完了します。,अनुस्मारक: अंशांकन को पूरा करने के लिए जॉयस्टिक्स को घुमाएं।,Herinnering: roteer joysticks om kalibratie te voltooien.
rotateJoystick,REMINDER: Rotate Joystick to complete calibration.,Recordatorio: gire el joystick para completar la calibración.,Herinnering: Draai joystick om kalibrasie te voltooi.,تذكير: تدوير عصا التحكم لإكمال المعايرة.,Rappel: Faites pivoter le joystick pour terminer l'étalonnage.,"Напоминание: поверните джойстик, чтобы завершить калибровку.",Lembrete: gire o joystick para completar a calibração.,Pengingat: Putar joystick untuk menyelesaikan kalibrasi.,提醒：旋转操纵杆以完成校准。,"Erinnerung: Drehen Sie Joystick, um die Kalibrierung zu vervollständigen.",リマインダー：ジョイスティックを回転させてキャリブレーションを完了します。,अनुस्मारक: अंशांकन पूरा करने के लिए जॉयस्टिक को घुमाएं।,Herinnering: roteer joystick om kalibratie te voltooien.
driverStarted,Driver Started,Se inició el conductor,Bestuurder het begin,بدأ السائق,Le conducteur a commencé,Водитель начал,O motorista começou,Pengemudi mulai,驾驶员开始,Fahrer begann,ドライバーが始まりました,चालक ने शुरू किया,Bestuurder begon
driverStopped,Driver Stopped,El conductor se detuvo,Bestuurder stop,توقف السائق,Le conducteur s'est arrêté,Водитель остановился,O motorista parou,Pengemudi berhenti,驾驶员停了下来,Fahrer blieb stehen,ドライバーが停止しました,ड्राइवर रुक गया,Driver stopte
driverResumed,Driver Resumed,Reanude el conductor,Bestuurder hervat,استأنف السائق,Le conducteur a repris,Водитель возобновился,Motorista retomado,Pengemudi dilanjutkan,驾驶员恢复,Fahrer wieder aufgenommen,ドライバーが再開しました,ड्राइवर फिर से शुरू हुआ,Bestuurder werd hervat
driverPaused,Driver Paused,Conductor detenido,Bestuurder onderbreek,توقف سائق,Le conducteur en pause,Водитель сделал паузу,O motorista fez uma pausa,Pengemudi berhenti,司机停下来,Fahrer machte eine Pause,ドライバーは一時停止しました,चालक ने रोका,Bestuurder gepauzeerd
autoConfigFound,Automatic configuration found for application: ,Configuración automática encontrada para la aplicación:,Outomatiese konfigurasie gevind vir toepassing:,التكوين التلقائي الموجود للتطبيق:,Configuration automatique trouvée pour l'application:,"Автоматическая конфигурация, найденная для приложения:",Configuração automática encontrada para aplicação:,Konfigurasi otomatis ditemukan untuk aplikasi:,为应用程序找到的自动配置：,Automatische Konfiguration für die Anwendung:,アプリケーション用に見つかった自動構成：,एप्लिकेशन के लिए पाया गया स्वचालित कॉन्फ़िगरेशन:,Automatische configuratie gevonden voor toepassing:
about,About,Acerca de,Rondom,عن,À propos,О,Sobre,Tentang,关于,Um,だいたい,के बारे में,Over
version,Version:,Versión:,Weergawe:,إصدار:,Version:,Версия:,Versão:,Versi: kapan:,版本：,Ausführung:,バージョン：,संस्करण:,Versie:
support,Support:,Apoyo:,Ondersteuning:,يدعم:,Soutien:,Поддерживать:,Apoiar:,Mendukung:,支持：,Unterstützung:,サポート：,सहायता:,Steun:
gmkWebsite,GMK Website,Sitio web de GMK,GMK -webwerf,موقع GMK,Site Web de GMK,Веб -сайт GMK,Site GMK,Situs web GMK,GMK网站,GMK -Website,GMKウェブサイト,जीएमके वेबसाइट,GMK -website
gmkDriver,GMK Driver,Controlador GMK,GMK -bestuurder,سائق GMK,Pilote GMK,Драйвер GMK,Driver GMK,Pengemudi GMK,GMK驱动程序,GMK -Treiber,GMKドライバー,जीएमके ड्राइवर,GMK -stuurprogramma
settings,Settings,Ajustes,Instellings,إعدادات,Paramètres,Настройки,Configurações,Pengaturan,设置,Einstellungen,設定,समायोजन,Instellingen
